sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g001_t1_b1_p0,train,1.135501816521526,0.04577212081979593,5.217028678341251,1.2153088593544794,1.9301642562741108,0.08975480769902333,-1.1812717470860434e-10
p1g_g001_t1_b1_p1,train,1.7032527247285332,0.04577212081993177,7.825543017314089,1.8229632889563732,2.895246384300151,0.13463221154796656,-8.239853244162987e-11
p1g_g002_t0_b0_p0,train,0.5281142881096486,0.013645063858850153,2.1291537662658016,0.512077427374038,0.7985678638249283,0.013010028683140717,-1.2015379663443682e-10
p1g_g002_t0_b0_p1,train,0.7921714321481282,0.013645063859037482,3.193730649397992,0.7681161410615687,1.1978517956984547,0.019515043022352074,-8.510265640341667e-11
p1g_g002_t0_b1_p0,train,1.4624101300356243,0.043208449627619945,6.720797221529779,1.6786483455987877,2.599528961990586,0.012453268386082073,-1.1948009248641256e-10
p1g_g002_t0_b1_p1,train,2.1936151949818092,0.043208449627698084,10.08119583195645,2.517972518309193,3.8992934428565604,0.018679902581766328,-8.443012955439144e-11
p1g_g002_t1_b0_p0,train,0.4508200431601118,0.016107223887891556,2.13404663123157,0.5149713595855019,0.602208958480162,0.013069410971070283,-1.184929168673854e-10
p1g_g002_t1_b0_p1,train,0.6762300647284186,0.016107223888170392,3.201069946850737,0.7724570393780823,0.9033134376863359,0.019604116457060172,-8.26801451377553e-11
p1g_g002_t1_b1_p0,train,1.0969220755138662,0.044279686123952944,4.957917765740717,1.223387648034418,1.9304181692133398,0.012658579329411168,-1.1813734712706747e-10
p1g_g002_t1_b1_p1,train,1.6453831132178585,0.04427968612407616,7.436876648358691,1.8350814719840969,2.8956272537230348,0.018987868996305224,-8.230970534780131e-11
p1g_g003_t0_b0_p0,train,0.5390885341081912,0.013926783045464654,2.2746781364593858,0.5042868679461776,0.7942989716993338,0.0616979082581679,-1.202438079661583e-10
p1g_g003_t0_b0_p1,train,0.8086328011466826,0.013926783045674124,3.4120172046069683,0.7564303019196359,1.1914484575100346,0.09254686238415388,-8.519952798824448e-11
p1g_g003_t0_b1_p0,train,1.4639732023664056,0.04324712759053065,6.403018157436804,1.6777746595040526,2.5984207635881944,0.06105632154270779,-1.1964579327283786e-10
p1g_g003_t0_b1_p1,train,2.1959598034807333,0.04324712759066979,9.604527235805506,2.5166619891713253,3.897631145260391,0.09158448231141847,-8.456427225134178e-11
p1g_g003_t1_b0_p0,train,0.46437751329009574,0.016586965278621097,2.1621499717779216,0.5071722678573565,0.5979062781617017,0.061411939171819085,-1.185872806203081e-10
p1g_g003_t1_b0_p1,train,0.6965662699251653,0.016586965278959764,3.2432249576802405,0.7607584017861768,0.896859417211715,0.09211790876662462,-8.277036694925854e-11
p1g_g003_t1_b1_p0,train,1.1002621141731468,0.04439915872667433,4.8612738861687035,1.222499878380063,1.9292618588051482,0.060916814565587174,-1.183597525544755e-10
p1g_g003_t1_b1_p1,train,1.6503931712106366,0.044399158726916105,7.2919108290462304,1.8337498175088172,2.8938927881197287,0.09137522185983471,-8.247733977266118e-11
p1g_g004_t0_b0_p0,train,0.560334841642821,0.014451928356049729,2.687253343264331,0.5343446156980463,0.8157244718317997,0.0025194226046210133,-1.2022163820013532e-10
p1g_g004_t0_b0_p1,train,0.8405022624523378,0.014451928356345244,4.03088001490238,0.8015169235471262,1.223586707721779,0.0037791339099157994,-8.516144039960594e-11
p1g_g004_t0_b1_p0,train,1.4768372983702556,0.04356536669872841,6.980819018445288,1.663155142275059,2.623150820481328,0.0025236775470034445,-1.1944063793567494e-10
